Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,season,game_id
10.0,Mon,2023-10-30,18:30,Empoli,Atalanta,0.3,1.6,0–3,2023-2024,96
10.0,Mon,2023-10-30,20:45,Lazio,Fiorentina,1.9,0.4,1–0,2023-2024,97
11.0,Fri,2023-11-03,20:45,Bologna,Lazio,0.6,0.5,1–0,2023-2024,98
11.0,Sat,2023-11-04,15:00,Salernitana,Napoli,0.3,1.4,0–2,2023-2024,99
11.0,Sat,2023-11-04,18:00,Atalanta,Inter,1.0,1.3,1–2,2023-2024,100
11.0,Sat,2023-11-04,20:45,Milan,Udinese,0.9,1.4,0–1,2023-2024,101
11.0,Sun,2023-11-05,12:30,Hellas Verona,Monza,1.0,0.9,1–3,2023-2024,102
11.0,Sun,2023-11-05,15:00,Cagliari,Genoa,0.9,1.0,2–1,2023-2024,103
11.0,Sun,2023-11-05,18:00,Roma,Lecce,2.0,0.8,2–1,2023-2024,104
11.0,Sun,2023-11-05,20:45,Fiorentina,Juventus,0.7,0.7,0–1,2023-2024,105
11.0,Mon,2023-11-06,18:30,Frosinone,Empoli,0.8,1.5,2–1,2023-2024,106
11.0,Mon,2023-11-06,20:45,Torino,Sassuolo,3.5,0.5,2–1,2023-2024,107
12.0,Fri,2023-11-10,18:30,Sassuolo,Salernitana,2.9,0.8,2–2,2023-2024,108
12.0,Fri,2023-11-10,20:45,Genoa,Hellas Verona,1.6,0.2,1–0,2023-2024,109
12.0,Sat,2023-11-11,15:00,Lecce,Milan,1.4,1.1,2–2,2023-2024,110
12.0,Sat,2023-11-11,18:00,Juventus,Cagliari,2.3,0.6,2–1,2023-2024,111
12.0,Sat,2023-11-11,20:45,Monza,Torino,0.9,1.0,1–1,2023-2024,112
12.0,Sun,2023-11-12,12:30,Napoli,Empoli,0.9,0.5,0–1,2023-2024,113
12.0,Sun,2023-11-12,15:00,Fiorentina,Bologna,1.4,1.8,2–1,2023-2024,114
12.0,Sun,2023-11-12,15:00,Udinese,Atalanta,1.5,0.7,1–1,2023-2024,115
12.0,Sun,2023-11-12,18:00,Lazio,Roma,0.4,0.4,0–0,2023-2024,116
12.0,Sun,2023-11-12,20:45,Inter,Frosinone,3.1,0.7,2–0,2023-2024,117
13.0,Sat,2023-11-25,15:00,Salernitana,Lazio,1.7,2.0,2–1,2023-2024,118
13.0,Sat,2023-11-25,18:00,Atalanta,Napoli,1.0,2.0,1–2,2023-2024,119
13.0,Sat,2023-11-25,20:45,Milan,Fiorentina,1.8,1.8,1–0,2023-2024,120
13.0,Sun,2023-11-26,12:30,Cagliari,Monza,1.6,0.7,1–1,2023-2024,121
13.0,Sun,2023-11-26,15:00,Frosinone,Genoa,0.6,1.3,2–1,2023-2024,122
13.0,Sun,2023-11-26,15:00,Empoli,Sassuolo,1.4,2.3,3–4,2023-2024,123
13.0,Sun,2023-11-26,18:00,Roma,Udinese,1.4,0.5,3–1,2023-2024,124
13.0,Sun,2023-11-26,20:45,Juventus,Inter,0.4,0.9,1–1,2023-2024,125
13.0,Mon,2023-11-27,18:30,Hellas Verona,Lecce,1.7,1.0,2–2,2023-2024,126
13.0,Mon,2023-11-27,20:45,Bologna,Torino,1.5,0.4,2–0,2023-2024,127
14.0,Fri,2023-12-01,20:45,Monza,Juventus,0.7,2.5,1–2,2023-2024,128
14.0,Sat,2023-12-02,15:00,Genoa,Empoli,1.0,0.8,1–1,2023-2024,129
14.0,Sat,2023-12-02,18:00,Lazio,Cagliari,2.0,0.6,1–0,2023-2024,130
14.0,Sat,2023-12-02,20:45,Milan,Frosinone,1.2,0.7,3–1,2023-2024,131
14.0,Sun,2023-12-03,12:30,Lecce,Bologna,1.5,1.2,1–1,2023-2024,132
14.0,Sun,2023-12-03,15:00,Udinese,Hellas Verona,1.9,1.3,3–3,2023-2024,133
14.0,Sun,2023-12-03,15:00,Fiorentina,Salernitana,2.5,0.8,3–0,2023-2024,134
14.0,Sun,2023-12-03,18:00,Sassuolo,Roma,0.8,2.3,1–2,2023-2024,135
14.0,Sun,2023-12-03,20:45,Napoli,Inter,0.6,2.7,0–3,2023-2024,136
14.0,Mon,2023-12-04,20:45,Torino,Atalanta,1.7,0.5,3–0,2023-2024,137
15.0,Fri,2023-12-08,20:45,Juventus,Napoli,0.9,1.2,1–0,2023-2024,138
15.0,Sat,2023-12-09,15:00,Hellas Verona,Lazio,1.0,1.0,1–1,2023-2024,139
15.0,Sat,2023-12-09,18:00,Atalanta,Milan,3.3,1.5,3–2,2023-2024,140
15.0,Sat,2023-12-09,20:45,Inter,Udinese,3.5,0.8,4–0,2023-2024,141
15.0,Sun,2023-12-10,12:30,Frosinone,Torino,0.8,1.2,0–0,2023-2024,142
15.0,Sun,2023-12-10,15:00,Monza,Genoa,0.4,1.4,1–0,2023-2024,143
15.0,Sun,2023-12-10,18:00,Salernitana,Bologna,0.5,2.1,1–2,2023-2024,144
15.0,Sun,2023-12-10,20:45,Roma,Fiorentina,0.7,1.5,1–1,2023-2024,145
15.0,Mon,2023-12-11,18:30,Empoli,Lecce,1.4,0.8,1–1,2023-2024,146
15.0,Mon,2023-12-11,20:45,Cagliari,Sassuolo,1.1,0.8,2–1,2023-2024,147
16.0,Fri,2023-12-15,20:45,Genoa,Juventus,0.8,1.7,1–1,2023-2024,148
16.0,Sat,2023-12-16,15:00,Lecce,Frosinone,0.7,1.7,2–1,2023-2024,149
16.0,Sat,2023-12-16,18:00,Napoli,Cagliari,1.8,1.1,2–1,2023-2024,150
16.0,Sat,2023-12-16,20:45,Torino,Empoli,1.1,0.3,1–0,2023-2024,151
16.0,Sun,2023-12-17,12:30,Milan,Monza,2.0,1.5,3–0,2023-2024,152
16.0,Sun,2023-12-17,15:00,Fiorentina,Hellas Verona,0.5,2.5,1–0,2023-2024,153
16.0,Sun,2023-12-17,15:00,Udinese,Sassuolo,0.8,3.0,2–2,2023-2024,154
16.0,Sun,2023-12-17,18:00,Bologna,Roma,0.5,0.6,2–0,2023-2024,155
16.0,Sun,2023-12-17,20:45,Lazio,Inter,1.5,1.6,0–2,2023-2024,156
16.0,Mon,2023-12-18,20:45,Atalanta,Salernitana,1.9,1.3,4–1,2023-2024,157
17.0,Fri,2023-12-22,18:30,Sassuolo,Genoa,1.4,1.6,1–2,2023-2024,158
17.0,Fri,2023-12-22,18:30,Empoli,Lazio,0.8,2.3,0–2,2023-2024,159
17.0,Fri,2023-12-22,20:45,Monza,Fiorentina,0.7,2.0,0–1,2023-2024,160
17.0,Fri,2023-12-22,20:45,Salernitana,Milan,1.4,2.2,2–2,2023-2024,161
17.0,Sat,2023-12-23,12:30,Frosinone,Juventus,0.5,1.1,1–2,2023-2024,162
17.0,Sat,2023-12-23,15:00,Torino,Udinese,1.0,0.9,1–1,2023-2024,163
17.0,Sat,2023-12-23,15:00,Bologna,Atalanta,0.7,1.2,1–0,2023-2024,164
17.0,Sat,2023-12-23,18:00,Inter,Lecce,2.9,1.3,2–0,2023-2024,165
17.0,Sat,2023-12-23,18:00,Hellas Verona,Cagliari,0.9,0.8,2–0,2023-2024,166
17.0,Sat,2023-12-23,20:45,Roma,Napoli,1.9,0.7,2–0,2023-2024,167
18.0,Fri,2023-12-29,18:30,Napoli,Monza,2.0,1.1,0–0,2023-2024,168
18.0,Fri,2023-12-29,18:30,Fiorentina,Torino,0.5,0.3,1–0,2023-2024,169
18.0,Fri,2023-12-29,20:45,Lazio,Frosinone,1.5,1.1,3–1,2023-2024,170
18.0,Fri,2023-12-29,20:45,Genoa,Inter,0.5,1.8,1–1,2023-2024,171
18.0,Sat,2023-12-30,12:30,Atalanta,Lecce,1.1,1.2,1–0,2023-2024,172
18.0,Sat,2023-12-30,15:00,Udinese,Bologna,1.1,0.9,3–0,2023-2024,173
18.0,Sat,2023-12-30,15:00,Cagliari,Empoli,1.8,0.3,0–0,2023-2024,174
18.0,Sat,2023-12-30,18:00,Milan,Sassuolo,1.5,0.5,1–0,2023-2024,175
18.0,Sat,2023-12-30,18:00,Hellas Verona,Salernitana,0.8,0.5,0–1,2023-2024,176
18.0,Sat,2023-12-30,20:45,Juventus,Roma,1.1,0.5,1–0,2023-2024,177
19.0,Fri,2024-01-05,20:45,Bologna,Genoa,1.3,0.1,1–1,2023-2024,178
19.0,Sat,2024-01-06,12:30,Inter,Hellas Verona,1.9,1.3,2–1,2023-2024,179
19.0,Sat,2024-01-06,15:00,Frosinone,Monza,1.2,1.3,2–3,2023-2024,180
19.0,Sat,2024-01-06,18:00,Lecce,Cagliari,1.5,1.0,1–1,2023-2024,181
19.0,Sat,2024-01-06,20:45,Sassuolo,Fiorentina,0.9,1.2,1–0,2023-2024,182
19.0,Sun,2024-01-07,12:30,Empoli,Milan,0.9,1.7,0–3,2023-2024,183
19.0,Sun,2024-01-07,15:00,Udinese,Lazio,0.7,0.5,1–2,2023-2024,184
