index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
13,Thomas Foket,32.0,be BEL,RB,28-321,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,45.0,55.0,81.8,2.0,41.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
14,Valentin Atangana Edoa,6.0,fr FRA,AM,17-352,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,1.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
15,Yehvann Diouf,94.0,fr FRA,GK,23-269,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,35.0,94.3,0.0,27.0,0.0,0.0,0.0,4.0,2.0,2.0,50.0,1.2,2.0,4.0,50.0,29.0,7.0,13.8,26.8,6.0,0.0,20.0,19.0,1.0,5.3,1.0,14.4,0,1
0,15 Players,,,,,990,0.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,1149.0,10.0,8.0,9.0,1.2,1.2,1.0,37.0,0.0,964.0,1051.0,91.7,62.0,1000.0,29.0,16.0,9.0,,,,,,,,,,,,,,,,,,,,,1,2
1,Achraf Hakimi,2.0,ma MAR,"RB,RM",24-281,90,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,134.0,1.0,4.0,0.0,0.1,0.1,0.4,7.0,0.0,111.0,120.0,92.5,9.0,112.0,8.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
2,Carlos Soler,28.0,es ESP,LW,26-222,22,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,0.2,0.2,0.1,3.0,0.0,20.0,24.0,83.3,1.0,24.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
3,Danilo Pereira,15.0,pt POR,CB,31-337,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,151.0,157.0,96.2,12.0,150.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,2
4,Fabián Ruiz Peña,8.0,es ESP,LM,27-131,23,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.2,0.2,0.0,4.0,0.0,21.0,24.0,87.5,1.0,23.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
5,Gianluigi Donnarumma,99.0,it ITA,GK,24-168,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,100.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,10.0,0.0,0.0,21.5,3.0,0.0,24.0,2.0,0.0,0.0,0.0,,1,2
6,Gonçalo Ramos,9.0,pt POR,FW,22-053,90,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,40.0,0.0,0.0,1.0,0.4,0.4,0.0,2.0,0.0,20.0,24.0,83.3,2.0,28.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,2
7,Hugo Ekitike,44.0,fr FRA,RW,21-053,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,87.5,1.0,11.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
8,Lee Kang-in,19.0,kr KOR,RW,22-174,81,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,79.0,1.0,0.0,1.0,0.1,0.1,0.0,5.0,0.0,56.0,73.0,76.7,7.0,63.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,1,2
9,Lucas Hernández,21.0,fr FRA,LB,27-179,81,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,119.0,3.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,97.0,109.0,89.0,3.0,98.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1,2
10,Manuel Ugarte Ribeiro,4.0,uy URU,CM,22-123,90,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,107.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,88.0,95.0,92.6,6.0,94.0,3.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,1,2
11,Marco Asensio,11.0,es ESP,LW,27-203,68,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,57.0,0.0,0.0,1.0,0.0,0.0,0.2,3.0,0.0,46.0,53.0,86.8,4.0,51.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
12,Marquinhos,5.0,br BRA,CB,29-090,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,29.0,96.6,1.0,26.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
13,Milan Škriniar,37.0,sk SVK,CB,28-182,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,143.0,146.0,97.9,4.0,139.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
14,Vitinha,17.0,pt POR,LM,23-180,67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,2.0,2.0,3.0,0.1,0.1,0.0,2.0,0.0,55.0,60.0,91.7,3.0,64.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1,2
0,14 Players,,,,,990,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,425.0,13.0,15.0,22.0,0.1,0.1,0.1,5.0,0.0,226.0,298.0,75.8,14.0,268.0,7.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,0,2
