index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
6,Giangiacomo Magnani,23.0,it ITA,CB,27-319,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,21.0,27.0,77.8,0.0,15.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
7,Jordi Mboula,77.0,es ESP,AM,24-156,68.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,58.3,2.0,10.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
8,Josh Doig,3.0,sct SCO,WB,21-093,87.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,42.0,1.0,0.0,2.0,0.1,0.1,0.0,1.0,0.0,23.0,33.0,69.7,0.0,19.0,4.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
9,Juan David Cabal,32.0,co COL,WB,22-223,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
10,Lorenzo Montipò,1.0,it ITA,GK,27-180,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,41.0,63.4,0.0,25.0,0.0,0.0,0.0,4.0,0.0,4.0,100.0,0.3,9.0,23.0,39.1,33.0,4.0,54.5,43.0,8.0,62.5,54.0,4.0,0.0,0.0,4.0,27.2,0,1
11,Martin Hongla,18.0,cm CMR,CM,25-156,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,28.0,75.0,3.0,19.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,1
12,Michael Folorunsho,90.0,it ITA,FW,25-193,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,64.3,2.0,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
13,Milan Đurić,11.0,ba BIH,AM,33-089,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,6.0,11.0,54.5,0.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
14,Ondrej Duda,33.0,sk SVK,CM,28-257,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,1.0,2.0,1.0,0.0,0.0,0.2,3.0,0.0,17.0,31.0,54.8,3.0,19.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,1
15,Paweł Dawidowicz,27.0,pl POL,CB,28-091,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,47.0,66.0,71.2,5.0,48.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
0,16 Players,,,,,990.0,2.0,2.0,0.0,0.0,22.0,3.0,1.0,0.0,604.0,17.0,9.0,11.0,2.7,2.7,2.4,40.0,4.0,448.0,509.0,88.0,46.0,377.0,23.0,17.0,6.0,,,,,,,,,,,,,,,,,,,,,1,2
1,Alessandro Bastoni,95.0,it ITA,CB,24-128,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,62.0,68.0,91.2,4.0,51.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
2,Carlos Augusto,30.0,br BRA,WB,24-224,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,9.0,14.0,64.3,0.0,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
