Player,#,Team Name,Nation,Pos,season,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Succ,total_games
Abdoul Kader Bamba,12.0,Nantes,fr FRA,RM,2023-2024,33.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,25.0,1.0,0.0,0.0,0.6,0.6,0.1,2.0,1.0,21.0,23.0,91.3,4.0,24.0,2.0,0.0,1
Abdoul Kader Bamba,12.0,Nantes,fr FRA,"RM,LM",2023-2024,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,3.0,1.0,1.0,0.1,0.1,0.1,3.0,0.0,18.0,21.0,85.7,0.0,28.0,2.0,2.0,1
Abdoul Kader Bamba,12.0,Nantes,fr FRA,RW,2023-2024,24.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,15.5,0.0,0.25,0.5,0.175,0.175,0.025,1.75,0.0,9.5,11.75,83.325,1.5,11.75,1.25,0.5,4
Abdoul Kader Bamba,12.0,Nantes,fr FRA,"RW,LW",2023-2024,14.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.0,14.0,0.0,0.0,0.0,0.05,0.05,0.05,1.0,0.0,10.0,12.0,83.19999999999999,1.0,9.5,1.0,0.0,2
Abdoul Koné,33.0,Reims,fr FRA,RB,2023-2024,64.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.333333333333336,2.3333333333333335,0.6666666666666666,0.6666666666666666,0.0,0.0,0.20000000000000004,0.6666666666666666,0.6666666666666666,17.666666666666668,28.333333333333332,62.73333333333333,1.6666666666666667,21.666666666666668,1.0,0.6666666666666666,3
Abdoulaye Doucouré,16.0,Everton,ml MLI,AM,2023-2024,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,4.0,1.0,1.0,0.0,0.0,0.1,2.0,0.0,12.0,21.0,57.1,2.0,16.0,2.0,0.0,1
Abdoulaye Doucouré,16.0,Everton,ml MLI,CM,2023-2024,78.8,0.2,0.2,0.0,0.0,0.8,0.4,1.0,0.0,37.8,3.0,0.4,1.0,0.13999999999999999,0.13999999999999999,0.02,2.6,0.2,21.6,26.6,79.84,2.8,21.2,2.0,1.0,5
Abdoulaye Doucouré,16.0,Everton,ml MLI,"CM,FW",2023-2024,89.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,34.5,1.5,2.5,0.0,0.05,0.05,0.0,1.0,0.0,17.0,23.0,72.9,1.5,16.5,1.5,3.0,2
Abdoulaye Doucouré,16.0,Everton,ml MLI,FW,2023-2024,81.56521739130434,0.21739130434782608,0.0,0.0,0.0,1.6956521739130435,0.782608695652174,6.0,0.0,36.82608695652174,0.9130434782608695,0.2608695652173913,0.7391304347826086,0.34347826086956523,0.34347826086956523,0.10869565217391304,2.0434782608695654,0.17391304347826086,21.391304347826086,28.08695652173913,75.07826086956521,3.3043478260869565,19.391304347826086,1.6956521739130435,0.6086956521739131,23
Abdoulaye Doucouré,16.0,Everton,ml MLI,"FW,CM",2023-2024,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,55.0,0.0,1.0,0.0,0.1,0.1,0.0,3.0,0.0,37.0,47.0,78.7,2.0,34.0,1.0,0.0,1
Abdoulaye Touré,94.0,Le Havre,gn GUI,CM,2023-2024,70.55555555555556,0.1111111111111111,0.0,2.0,2.0,1.0555555555555556,0.3333333333333333,3.0,0.0,47.166666666666664,1.6666666666666667,0.6111111111111112,1.1111111111111112,0.13333333333333333,0.044444444444444446,0.044444444444444446,1.5,0.0,31.72222222222222,38.27777777777778,82.44444444444444,4.611111111111111,34.0,0.7777777777777778,0.9444444444444444,18
Abdoulaye Touré,94.0,Le Havre,gn GUI,"CM,DM",2023-2024,90.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,46.0,0.0,3.0,1.0,0.1,0.1,0.0,1.0,0.0,26.0,34.0,76.5,5.0,36.0,1.0,1.0,1
Abdoulaye Touré,94.0,Le Havre,gn GUI,DM,2023-2024,84.0,0.0,0.0,0.0,0.0,0.7,0.1,1.0,0.0,54.8,1.5,1.0,0.8,0.02,0.02,0.01,1.5,0.1,38.6,46.4,83.24,5.3,40.4,0.6,0.8,10
Abdoulaye Touré,94.0,Le Havre,gn GUI,"DM,RM",2023-2024,84.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,48.0,51.0,94.1,7.0,55.0,1.0,3.0,1
Abdukodir Khusanov,25.0,Lens,uz UZB,CB,2023-2024,73.54545454545455,0.0,0.0,0.0,0.0,0.45454545454545453,0.18181818181818182,5.0,0.0,48.63636363636363,1.9090909090909092,1.1818181818181819,1.1818181818181819,0.009090909090909092,0.009090909090909092,0.009090909090909092,0.5454545454545454,0.0,34.81818181818182,39.90909090909091,87.02727272727272,2.090909090909091,35.27272727272727,0.45454545454545453,0.09090909090909091,11
Abdul Mumin,16.0,Rayo Vallecano,gh GHA,CB,2023-2024,84.42105263157895,0.05263157894736842,0.0,0.0,0.0,0.3157894736842105,0.05263157894736842,5.0,1.0,46.578947368421055,0.8947368421052632,1.105263157894737,1.3157894736842106,0.021052631578947368,0.021052631578947368,0.010526315789473684,0.5263157894736842,0.0,29.894736842105264,37.421052631578945,77.91052631578947,1.9473684210526316,23.42105263157895,0.3157894736842105,0.10526315789473684,19
Abdul Mumin,16.0,Rayo Vallecano,gh GHA,"CB,RB",2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,49.0,62.0,79.0,1.0,47.0,0.0,0.0,1
Abdón Prats,9.0,Mallorca,es ESP,"AM,FW",2023-2024,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,0.2,0.2,0.4,2.0,0.0,7.0,15.0,46.7,3.0,17.0,0.0,0.0,1
Abdón Prats,9.0,Mallorca,es ESP,CM,2023-2024,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.5,25.0,0.5,4.0,0.5,0.5,2
Abdón Prats,9.0,Mallorca,es ESP,"CM,FW",2023-2024,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,4.0,4.0,100.0,2.0,4.0,0.0,0.0,1
