Player,#,Team Name,Nation,Pos,season,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Stp,Stp%,#OPA,AvgDist,total_games
Marcin Bułka,1.0,Nice,pl POL,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,2.0,0.0,38.096774193548384,0.0,0.0,0.0,0.0032258064516129032,0.0032258064516129032,0.0,0.0967741935483871,0.0,31.032258064516128,36.45161290322581,85.73870967741935,0.0,31.29032258064516,0.0,0.06451612903225806,3.129032258064516,0.8709677419354839,2.193548387096774,78.11,0.8838709677419354,2.129032258064516,5.741935483870968,37.47586206896552,31.93548387096774,4.67741935483871,14.245161290322581,23.551612903225806,31.0,9.064516129032258,19.0,11.558620689655172,31
Marcin Bułka,90.0,Nice,pl POL,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.666666666666664,35.0,95.16666666666667,0.0,30.666666666666668,0.0,0.0,2.6666666666666665,0.6666666666666666,2.0,76.66666666666667,1.0666666666666667,2.6666666666666665,3.6666666666666665,85.0,32.0,4.333333333333333,6.8,23.0,1.0,2.3666666666666667,2.0,12.1,3
Marco Bizot,40.0,Brest,nl NED,GK,2023-2024,89.875,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,37.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.0,25.8125,34.375,75.36875,0.03125,26.1875,0.0,0.0,4.096774193548387,1.064516129032258,3.0,77.82903225806452,1.1193548387096774,7.258064516129032,15.064516129032258,49.777419354838706,28.516129032258064,4.193548387096774,40.10322580645161,35.28387096774193,17.0,3.858064516129032,39.0,16.343333333333334,32
Marco Carnesecchi,29.0,Atalanta,it ITA,GK,2023-2024,89.81481481481481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.370370370370374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.925925925925927,32.55555555555556,70.43333333333334,0.0,17.925925925925927,0.0,0.0,4.115384615384615,1.1538461538461537,2.8846153846153846,73.4076923076923,1.0888888888888888,4.481481481481482,12.518518518518519,36.15555555555556,25.185185185185187,5.2592592592592595,30.68888888888889,34.040740740740745,20.0,5.818518518518518,39.0,14.096296296296297,27
Marco Silvestri,1.0,Udinese,it ITA,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.705882352941178,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.11764705882352941,0.0,19.058823529411764,26.529411764705884,71.8529411764706,0.0,14.705882352941176,0.0,0.0,4.0,1.6470588235294117,2.3529411764705883,64.55882352941177,1.5058823529411764,3.3529411764705883,9.882352941176471,31.34705882352941,20.294117647058822,4.0,32.90588235294118,32.05294117647059,5.0,1.9235294117647062,7.0,12.607142857142858,17
Marco Sportiello,57.0,Milan,it ITA,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,30.428571428571427,35.285714285714285,86.21428571428571,0.0,27.142857142857142,0.0,0.0,4.714285714285714,1.5714285714285714,3.2857142857142856,64.14285714285714,1.2714285714285716,2.857142857142857,7.285714285714286,33.32857142857143,32.857142857142854,5.714285714285714,20.5,27.057142857142857,5.0,6.885714285714286,9.0,15.885714285714286,7
Mark Flekken,1.0,Brentford,nl NED,GK,2023-2024,88.78378378378379,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,3.0,0.0,44.810810810810814,0.02702702702702703,0.0,0.02702702702702703,0.0,0.0,0.010810810810810811,0.2702702702702703,0.08108108108108109,30.56756756756757,42.7027027027027,71.45945945945945,0.13513513513513514,25.135135135135137,0.0,0.08108108108108109,4.756756756756757,1.7027027027027026,3.138888888888889,61.42162162162162,1.4891891891891893,6.54054054054054,17.486486486486488,37.18648648648649,34.810810810810814,3.5405405405405403,38.18611111111111,35.064864864864866,44.0,7.541666666666667,37.0,12.865714285714287,37
Mark Travers,42.0,Bournemouth,ie IRL,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,16.75,29.5,55.025,0.0,17.5,0.0,0.0,4.5,1.25,3.25,81.95,1.25,5.5,18.0,28.525,23.0,3.25,59.025,43.075,3.0,4.975,3.0,15.3,4
Marko Dmitrović,1.0,Sevilla,rs SRB,GK,2023-2024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,22.46153846153846,30.307692307692307,74.34615384615384,0.07692307692307693,18.0,0.0,0.07692307692307693,5.230769230769231,1.9230769230769231,3.3846153846153846,68.99230769230769,1.7384615384615385,4.0,11.384615384615385,36.87692307692308,24.153846153846153,5.384615384615385,33.784615384615385,33.0,11.0,7.269230769230769,15.0,15.491666666666667,13
Martin Dúbravka,1.0,Newcastle Utd,sk SVK,GK,2023-2024,86.30434782608695,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.82608695652174,0.0,0.0,0.0,0.0,0.0,0.004347826086956522,0.0,0.0,22.565217391304348,28.304347826086957,76.19565217391305,0.0,16.434782608695652,0.0,0.0,5.6521739130434785,1.826086956521739,3.782608695652174,72.38636363636364,1.8347826086956522,2.4347826086956523,7.173913043478261,33.60476190476191,20.869565217391305,6.217391304347826,19.691304347826087,27.195652173913043,20.0,5.908695652173913,22.0,12.713043478260868,23
